mask,id,gender,age,img_path,age_group,label
2,000001,1,45,/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,1,16
0,000001,1,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,1,4
0,000001,1,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,1,4
0,000001,1,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,1,4
0,000001,1,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,1,4
1,000001,1,45,/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,1,10
0,000001,1,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,1,4
0,000002,1,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,1,4
0,000002,1,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,1,4
0,000002,1,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,1,4
1,000002,1,52,/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,1,10
0,000002,1,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,1,4
0,000002,1,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,1,4
2,000002,1,52,/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,1,16
2,000004,0,54,/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,1,13
1,000004,0,54,/opt/ml/input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,1,7
0,000004,0,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,1,1
0,000004,0,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,1,1
0,000004,0,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,1,1
0,000004,0,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,1,1
0,000004,0,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask2.jpg,1,1
2,000005,1,58,/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,1,16
0,000005,1,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,1,4
0,000005,1,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,1,4
1,000005,1,58,/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,1,10
0,000005,1,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,1,4
0,000005,1,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,1,4
0,000005,1,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,1,4
0,000006,1,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask2.jpg,1,4
0,000006,1,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask1.jpg,1,4
0,000006,1,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask5.jpg,1,4
2,000006,1,59,/opt/ml/input/data/train/images/000006_female_Asian_59/normal.jpg,1,16
0,000006,1,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask4.jpg,1,4
0,000006,1,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask3.jpg,1,4
